y_true,probability,prediction
1,0.34799397191098713,0
0,0.3304228287871807,0
0,0.023763119749621173,0
0,0.47071245104382875,0
0,0.0055251261378287155,0
0,0.3841264899615757,0
1,0.9909724774439913,1
0,0.017920545793343134,0
0,0.03970797847467282,0
0,0.27348442260368466,0
1,0.7438589292375394,1
0,0.18581154108717843,0
0,0.012121746665466782,0
0,0.7667834312950976,1
0,0.1638074956910991,0
0,0.6930350086557343,1
0,0.0036940219418453084,0
1,0.10513787880297513,0
0,0.09002203999091367,0
0,0.47560351956397606,0
0,0.7748853235423371,1
1,0.9951811674953048,1
1,0.6154947499974671,1
0,0.00029916157560717086,0
1,0.8643739360392417,1
0,0.7785828294993056,1
0,0.18338092700488245,0
0,0.07951578710280068,0
0,0.01655106114221143,0
0,0.07717092201190491,0
1,0.8496994073562449,1
0,0.26026003306697165,0
0,0.009384957452293093,0
1,0.7510022190614133,1
0,0.8524210289335944,1
1,0.6315631702650665,1
0,0.5047109227257223,1
0,0.088987008405739,0
0,0.15104190063065503,0
0,0.25061422828515023,0
0,0.011290450070358855,0
1,0.759781103039224,1
0,0.0018466194747923182,0
0,0.10723361400494087,0
0,0.5452931750383779,1
0,0.10371148897518442,0
0,0.6167685986790792,1
0,0.23433968142358366,0
0,0.675814106015849,1
0,0.34465540312918985,0
1,0.9085800282574806,1
1,0.10963754345709305,0
1,0.5893523346077022,1
0,0.007419402931795709,0
1,0.7689454101117348,1
0,0.5309282505075316,1
0,0.23992407400240742,0
0,0.17329374688996735,0
0,0.49675589950239574,0
1,0.9251533442093082,1
0,0.01006742301864274,0
0,0.4486788047970046,0
0,0.033664027947798505,0
0,0.5469574190559467,1
1,0.7998929242249156,1
0,0.14227184753020045,0
1,0.5875817631248531,1
0,0.026675424922968732,0
0,0.6699174696548532,1
0,0.01354030587267674,0
1,0.3689330887962995,0
0,0.40751400303267926,0
1,0.8770506584184974,1
0,0.033522007770522035,0
0,0.023355778719962583,0
0,0.06412952571251741,0
1,0.8670048825528158,1
0,0.034037618539713856,0
0,0.4619634882226878,0
0,0.05127124532366016,0
0,0.507324241491121,1
0,0.0013671438137071402,0
0,0.0614729347982466,0
0,0.3060426453235584,0
0,0.14459607752028372,0
0,0.015467171723056606,0
0,0.006380209149090211,0
0,0.2952526540446402,0
0,0.47418191998522263,0
1,0.7772942003451846,1
0,0.18085249537299178,0
0,0.10958898318474977,0
0,0.05869472480282801,0
0,0.04912752786061972,0
0,0.17788509662161694,0
0,0.009663250074703249,0
1,0.81545518530157,1
0,0.0038007560931011867,0
1,0.7438080460847718,1
0,0.3598940164284274,0
1,0.8317121011771323,1
0,0.6838842856082656,1
0,0.17877122454122804,0
1,0.5131359098528493,1
0,0.002516530481448268,0
0,0.6546097805909067,1
0,0.008848552442040443,0
0,0.011163299648675356,0
0,0.6233743489959304,1
0,0.012815998795430574,0
1,0.9615888017981736,1
0,0.35382306816121484,0
0,0.04664169774626391,0
0,0.49241481147814387,0
1,0.9190828463369074,1
0,0.40808080801456054,0
0,0.17929970525513791,0
0,0.001920692090892389,0
1,0.722144825861097,1
0,0.014374249667298718,0
0,0.7716143708955864,1
1,0.19838670837555678,0
0,0.33222053918488487,0
0,0.1698086469448454,0
1,0.9724367754818678,1
1,0.8518169095734538,1
0,0.10463559574476967,0
0,0.06172164718682491,0
0,0.1299194719933534,0
0,0.251448193717045,0
0,0.17955290510825253,0
1,0.19264132402828119,0
1,0.5389218761797477,1
0,0.10965943379013474,0
0,0.3692671666288955,0
0,0.7880690039432844,1
0,0.11256745865521793,0
0,0.2611831359033236,0
0,0.1577837198560077,0
0,0.0006603454974283015,0
1,0.7422582720322333,1
1,0.20354543759173005,0
0,0.005499792403419373,0
0,0.0024829533465490937,0
0,0.5746000332569617,1
0,0.1280550514564427,0
0,0.18620716860414419,0
0,0.21539112013777692,0
0,0.0005693827022632486,0
0,0.1393697179544376,0
1,0.7773833260604388,1
1,0.9169085303351392,1
0,0.00012720446103947514,0
0,0.0028052410045943566,0
0,0.020740796091869823,0
0,0.0009992718259102665,0
1,0.699808722337891,1
0,0.21315893553212406,0
1,0.994169219364612,1
0,0.13825128344417856,0
0,0.20072933930108483,0
1,0.9056169284312671,1
0,0.3797846940919821,0
0,0.009072163683498568,0
1,0.8701771447529733,1
0,0.0166382445920549,0
1,0.7570364400573362,1
0,0.10764926024584463,0
0,0.4968587020655942,0
1,0.6707392542476939,1
1,0.9638659631914239,1
0,0.0008134539418970361,0
1,0.7474882653164379,1
0,0.0012545373851534298,0
0,0.26367784900547725,0
1,0.8200120733599748,1
0,0.005470582598405404,0
0,0.5341269427118941,1
0,0.7472485182589144,1
0,0.05654236687464684,0
0,0.021525032638351836,0
0,0.09539425073877003,0
0,0.05365602479640059,0
0,0.3609456040597387,0
1,0.9706582909917006,1
0,0.03270859895497105,0
1,0.9000424314158352,1
1,0.64564055750039,1
0,0.13670280675013374,0
1,0.5268263503270841,1
0,0.5566711144921932,1
0,0.019737355611865365,0
0,0.4861724267530595,0
0,0.11364489016402565,0
0,0.1897831518716227,0
0,0.2669530291207235,0
0,0.08164882353843585,0
1,0.8360149667691151,1
0,0.7618841423751233,1
1,0.9171668982525386,1
0,0.21163507247689267,0
1,0.7942386632132646,1
0,0.7337390581030964,1
1,0.9485001837762401,1
0,0.07023091421413886,0
0,0.012849012696530823,0
1,0.7057584091165416,1
1,0.9261873779760411,1
0,0.0003256797382290171,0
1,0.8926475467339022,1
1,0.8598642022297033,1
0,9.267420907120254e-05,0
0,0.18089499789488847,0
0,0.19544567629591764,0
0,0.0004507796476919675,0
1,0.9750546914360269,1
0,0.04746504929976409,0
0,0.009129539036309206,0
1,0.8837823974869056,1
