threshold,precision,recall,f1
0.5549999999999999,0.6352349265600908,0.8376672017121455,0.7225401513753
0.5599999999999999,0.6380664158351055,0.8347779561262707,0.7232858930972138
0.565,0.6404022088518916,0.8314606741573034,0.723531055033057
0.57,0.6429877035559987,0.828143392188336,0.7239137552032178
0.575,0.6459991621281944,0.8250401284109149,0.724624060150376
0.58,0.6478837543296443,0.8206527554842161,0.7241053724860731
0.585,0.6507801176570893,0.8168004280363831,0.7243997342697163
0.59,0.6543294887243932,0.8134831460674158,0.7252778705337977
0.595,0.6569615852598644,0.8088817549491707,0.7250491583137499
0.6,0.6601456268093693,0.8052434456928839,0.7255109911299653
0.605,0.6628586609989373,0.8009630818619583,0.7253961331588894
0.61,0.6651470456780191,0.7962546816479401,0.724819793493084
0.615,0.6685312161674486,0.7929373996789727,0.7254393264476969
0.62,0.6712490895848507,0.7889780631353666,0.7253677013133947
0.625,0.6742068965517242,0.7845906902086678,0.7252225519287834
